time,device,data
2023-02-14T21:58:31.643817,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:00:56.757769,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:04:34.731444,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.1
2023-02-14T22:08:12.870524,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:16:44.036747,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:19:11.213502,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:20:24.514639,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:21:37.999576,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:27:49.296486,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:33:06.862311,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:34:19.400982,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:35:32.008875,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:39:10.018473,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:40:22.695122,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:41:35.367627,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:42:48.171749,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:44:01.107255,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.2
2023-02-14T22:46:27.045271,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:53:46.717207,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-14T22:59:56.164489,adeef670-4bcd-11eb-b767-3f1a8f1211ba,17.3
2023-02-15T15:19:23.871013,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:21:49.970608,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.1
2023-02-15T15:23:03.122937,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.0
2023-02-15T15:24:16.313735,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:29:10.291072,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T15:31:37.743593,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.0
2023-02-15T15:34:05.725314,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:37:50.228173,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:39:05.052685,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:41:34.951787,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T15:46:46.000945,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:47:58.853468,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T15:50:24.574505,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:51:37.432494,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:56:29.680714,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:58:55.954855,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:01:22.474231,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:02:36.194324,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:03:49.905994,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:13:44.269874,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:17:47.437960,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:19:00.169297,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:20:13.002595,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:27:30.284683,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:28:43.465156,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:29:56.625054,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.6
2023-02-15T16:36:02.831345,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:37:16.546482,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:39:43.959408,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:40:57.657055,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:42:11.349439,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:44:40.442983,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:45:55.275787,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:47:10.109349,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:49:39.796077,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:54:54.257614,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:58:32.825036,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:59:45.701905,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.5
2023-02-15T17:00:58.564774,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.6
2023-02-15T17:05:52.356572,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T17:07:04.083667,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.6
2023-02-15T17:10:44.134343,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.6
2023-02-15T17:11:57.885161,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.5
2023-02-15T17:18:07.131599,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.5
2023-02-15T17:24:21.266216,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.4
2023-02-15T17:25:37.205058,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.5
2023-02-15T17:27:10.083565,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.2
2023-02-15T17:28:22.811428,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.3
2023-02-15T17:29:35.599869,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.3
2023-02-15T17:30:48.453822,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.4
2023-02-15T17:32:01.319311,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.5
2023-02-15T17:33:14.169382,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.4
2023-02-15T17:34:27.590050,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.2
2023-02-15T17:35:39.886106,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.3
2023-02-15T17:36:52.897809,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.4
2023-02-15T17:40:32.271314,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.2
2023-02-15T17:41:45.368423,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.2
2023-02-15T17:42:58.470761,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.2
2023-02-15T17:44:11.851637,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.0
2023-02-15T17:46:39.150514,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.2
2023-02-15T17:47:52.816932,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.1
2023-02-15T17:49:06.494203,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.1
2023-02-15T17:50:20.124302,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.9
2023-02-15T17:51:33.799021,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.2
2023-02-15T17:59:02.481857,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.0
2023-02-15T18:00:18.702588,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.9
2023-02-15T18:01:51.221615,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.8
2023-02-15T18:03:03.892918,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.9
2023-02-15T18:04:16.659619,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.9
2023-02-15T18:05:29.618672,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.9
2023-02-15T18:06:42.235433,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.8
2023-02-15T18:09:07.866523,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.9
2023-02-15T18:10:20.722475,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.0
2023-02-15T18:13:59.834259,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.9
2023-02-15T18:15:12.924332,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.7
2023-02-15T18:16:26.027462,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.7
2023-02-15T18:18:52.422036,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.8
2023-02-15T18:20:06.057944,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.8
2023-02-15T18:22:33.300148,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.6
2023-02-15T18:23:46.944925,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.7
2023-02-15T18:26:14.498285,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.6
2023-02-15T18:33:42.943678,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.6
2023-02-15T18:37:40.595808,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.6
2023-02-15T18:38:53.353442,adeef670-4bcd-11eb-b767-3f1a8f1211ba,22.5
