time,device,data
2023-02-14T21:58:14.210746,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.4
2023-02-14T21:59:27.159301,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:00:39.292655,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:01:51.953305,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:03:04.587107,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.1
2023-02-14T22:04:17.257412,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:09:08.299487,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:10:21.259724,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:12:47.181069,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:18:53.345152,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.3
2023-02-14T22:20:06.847526,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:21:21.050712,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:22:33.835807,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:26:16.767498,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:27:31.351910,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:28:45.933532,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:30:00.528595,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:34:01.963904,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:36:27.217274,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:37:39.888618,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.1
2023-02-14T22:38:52.554478,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:40:05.225542,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:41:17.905103,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:44:56.524010,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:52:15.489937,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:54:42.555450,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:57:09.547169,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T22:59:38.215548,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-14T23:00:52.850809,adeef670-4bcd-11eb-b767-3f1a8f1211ba,19.2
2023-02-15T15:17:53.135768,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T15:22:45.543012,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.0
2023-02-15T15:23:58.708218,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:25:11.872826,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T15:26:25.149174,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:30:06.280730,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:31:20.007526,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.0
2023-02-15T15:32:33.745451,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.0
2023-02-15T15:37:32.228519,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:38:47.047768,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.0
2023-02-15T15:40:01.898140,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:42:50.183535,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:45:15.630005,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:47:41.344974,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:51:19.916274,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T15:53:45.789480,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T15:54:58.938195,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:56:12.094464,adeef670-4bcd-11eb-b767-3f1a8f1211ba,24.0
2023-02-15T15:57:25.240302,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T15:59:51.499439,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:02:18.465858,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:04:45.881927,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:05:59.530336,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.7
2023-02-15T16:09:41.933019,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.9
2023-02-15T16:13:26.268402,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:15:55.930022,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
2023-02-15T16:17:29.945160,adeef670-4bcd-11eb-b767-3f1a8f1211ba,23.8
