time,device,data
2023-02-14T21:58:51.490314,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-14T22:07:53.212193,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-14T22:17:32.598695,adeef670-4bcd-11eb-b767-3f1a8f1211ba,92.0
2023-02-14T22:27:02.152129,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-14T22:35:47.017992,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-14T22:45:18.303427,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-14T22:54:19.766653,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T14:32:23.155062,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T14:42:29.852068,adeef670-4bcd-11eb-b767-3f1a8f1211ba,92.0
2023-02-15T14:52:28.100731,adeef670-4bcd-11eb-b767-3f1a8f1211ba,88.0
2023-02-15T15:01:22.526132,adeef670-4bcd-11eb-b767-3f1a8f1211ba,92.0
2023-02-15T15:11:01.914766,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T15:21:22.298933,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T15:31:40.164787,adeef670-4bcd-11eb-b767-3f1a8f1211ba,92.0
2023-02-15T15:42:21.022362,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T15:51:39.847484,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T16:02:06.425568,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T16:11:42.110305,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T16:21:34.213498,adeef670-4bcd-11eb-b767-3f1a8f1211ba,90.0
2023-02-15T16:31:06.429985,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T16:41:13.086742,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T16:51:01.561987,adeef670-4bcd-11eb-b767-3f1a8f1211ba,90.0
2023-02-15T17:01:09.514315,adeef670-4bcd-11eb-b767-3f1a8f1211ba,92.0
2023-02-15T17:10:27.863249,adeef670-4bcd-11eb-b767-3f1a8f1211ba,92.0
2023-02-15T17:19:39.962654,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T17:28:55.352183,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T17:38:04.221636,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T17:47:55.420420,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T17:57:46.111632,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T18:07:38.324463,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T18:17:17.053540,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T18:26:56.666022,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T18:35:48.185796,adeef670-4bcd-11eb-b767-3f1a8f1211ba,91.0
2023-02-15T18:45:44.431366,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T18:55:53.917568,adeef670-4bcd-11eb-b767-3f1a8f1211ba,93.0
2023-02-15T19:05:41.126356,adeef670-4bcd-11eb-b767-3f1a8f1211ba,92.0
